"","CK45_1","CK45_2","AC45_1","AC45_2","CK120_1","CK120_2","AC120_1","AC120_2","CK200_1","CK200_2","AC200_1","AC200_2"
"YDL248W",157.125499375541,150.013292384028,125.890713267646,106.966997673059,132.618656310232,155.912087979777,106.996081745548,126.649502847122,183.388346241862,183.30925801204,100.644735152125,115.684513559768
"YDL247W",1.9279202377367,2.69484956378494,4.53660227991518,1.16268475731586,1.07820045780676,1.21806318734201,4.27984326982192,6.3324751423561,0.916941731209312,2.02551666311646,5.08306743192552,2.25359441999547
"YDL246C",4.81980059434175,2.69484956378494,1.1341505699788,1.16268475731586,3.23460137342029,0,1.71193730792877,4.22165009490407,0,0,3.04984045915531,6.00958511998793
"YDL245C",106.035613075518,127.55621268582,85.0612927484096,82.550617769426,61.4574260949855,87.7005494886247,76.1812102028301,71.7680516133691,80.6908723464194,83.0461831877748,77.2626249652679,69.1102288798612
"YDL244W",34.7025642792606,36.8296107050608,87.3295938883672,70.9237701962675,22.642209613942,24.3612637468402,95.0125205900465,70.7126390896431,27.5082519362793,27.3444749520722,79.2958519380381,70.6126251598582
"YDL243C",372.088605883183,336.856195473117,326.635364153893,338.341264378915,182.215877369343,165.656593478513,326.980025814394,299.737156738189,152.212327380746,119.505483123871,326.332929129618,295.220869019407
"YDL242W",56.8736470132326,71.862655034265,43.0977216591942,48.8327598072661,48.5190206013043,38.9780219949443,51.358119237863,51.7152136625748,26.59131020507,19.2424082996064,50.8306743192552,49.5790772399004
"YDL241W",62.6574077264427,83.5403364773331,1047.95512666041,1140.59374692686,114.289248527517,133.986950607621,1198.35611555014,1176.78496395451,90.7772313897218,87.0972165140077,1231.11893201236,1249.24250681749
"YDL240W",406.791170162443,387.160053997103,451.39192685156,446.47094680929,352.571549702812,321.56868145829,475.062602950233,468.603160534351,441.048972711679,437.511599233155,464.592363277992,410.154184439176
"YDL239C",1151.93234204768,1227.05483471008,200.744650886247,226.723527676593,538.022028445575,572.489698050744,262.782376767066,215.304154840107,361.275042096469,470.932624174577,226.704807463878,212.589073619573
"YDL238C",1069.99573194387,1163.27672836716,334.574418143745,345.31737292281,516.45801928944,545.69230792922,330.403900430252,330.344119926243,422.710138087493,394.975749307709,289.734843619755,315.503218799366
"YDL237W",1418.94929497421,1294.4260738047,962.893833911997,969.679087601427,1162.30009351569,1070.67754167363,935.573738783071,955.148333972045,903.187605241172,1015.7966065529,970.865879497774,942.002467558108
